duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes
10 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),50,2nd St at Townsend St,2343,Subscriber,1971,Male,27.0
9 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),50,2nd St at Townsend St,486,Subscriber,1965,Female,27.0
5 minutes,5,Powell St BART Station (Market St at 5th St),369,Hyde St at Post St,4432,Subscriber,1986,Male,26.0
5 minutes,5,Powell St BART Station (Market St at 5th St),369,Hyde St at Post St,5328,Subscriber,1990,Female,29.0
16 minutes,30,San Francisco Caltrain (Townsend St at 4th St),104,4th St at 16th St,5011,Customer,1983,Male,26.0
24 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),118,Eureka Valley Recreation Center,5561,Customer,1987,Male,27.0
24 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),118,Eureka Valley Recreation Center,4965,Customer,1990,Female,26.0
13 minutes,16,Steuart St at Market St,370,Jones St at Post St,762,Subscriber,1979,Male,27.0
36 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),31,Raymond Kimbell Playground,5136,Subscriber,1994,Male,26.0
12 minutes,16,Steuart St at Market St,104,4th St at 16th St,5472,Subscriber,1990,Female,29.0
39 minutes,22,Howard St at Beale St,79,7th St at Brannan St,4377,Subscriber,1983,Male,27.0
