duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes
11 minutes,3,Powell St BART Station (Market St at 4th St),64,5th St at Brannan St,4949,Subscriber,1997,Female,27.0
11 minutes,3,Powell St BART Station (Market St at 4th St),64,5th St at Brannan St,4358,Subscriber,1993,Male,27.0
15 minutes,5,Powell St BART Station (Market St at 5th St),123,Folsom St at 19th St,5108,Subscriber,1997,Other,26.0
16 minutes,5,Powell St BART Station (Market St at 5th St),123,Folsom St at 19th St,5382,Subscriber,1998,Male,26.0
15 minutes,5,Powell St BART Station (Market St at 5th St),123,Folsom St at 19th St,5558,Subscriber,1998,Male,26.0
6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),321,5th St at Folsom,500,Subscriber,1991,Male,27.0
8 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,5017,Subscriber,1992,Male,27.0
8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),44,Civic Center/UN Plaza BART Station (Market St at McAllister St),4997,Subscriber,1987,Male,26.0
18 minutes,21,Montgomery St BART Station (Market St at 2nd St),53,Grove St at Divisadero,4741,Subscriber,1975,Female,27.0
37 minutes,5,Powell St BART Station (Market St at 5th St),58,Market St at 10th St,5539,Subscriber,1975,Male,27.0
9 minutes,21,Montgomery St BART Station (Market St at 2nd St),21,Montgomery St BART Station (Market St at 2nd St),5575,Subscriber,1985,Male,29.0
1 minutes,5,Powell St BART Station (Market St at 5th St),44,Civic Center/UN Plaza BART Station (Market St at McAllister St),5521,Subscriber,1957,Male,27.0
8 minutes,3,Powell St BART Station (Market St at 4th St),17,Embarcadero BART Station (Beale St at Market St),4937,Subscriber,1989,Male,29.0
14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),350,8th St at Brannan St,2970,Subscriber,1994,Female,27.0
14 minutes,30,San Francisco Caltrain (Townsend St at 4th St),350,8th St at Brannan St,2125,Subscriber,1996,Female,29.0
14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),90,Townsend St at 7th St,4736,Subscriber,1991,Male,29.0
18 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),9,Broadway at Battery St,5314,Subscriber,1983,Female,26.0
7 minutes,3,Powell St BART Station (Market St at 4th St),62,Victoria Manalo Draves Park,2454,Subscriber,1993,Male,29.0
7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),27,Beale St at Harrison St,4408,Subscriber,1992,Male,27.0
59 minutes,3,Powell St BART Station (Market St at 4th St),74,Laguna St at Hayes St,2231,Subscriber,1969,Female,27.0
12 minutes,21,Montgomery St BART Station (Market St at 2nd St),62,Victoria Manalo Draves Park,5034,Subscriber,1994,Male,26.0
7 minutes,21,Montgomery St BART Station (Market St at 2nd St),66,3rd St at Townsend St,4908,Customer,1994,Male,26.0
8 minutes,21,Montgomery St BART Station (Market St at 2nd St),66,3rd St at Townsend St,4603,Customer,1995,Male,27.0
13 minutes,5,Powell St BART Station (Market St at 5th St),121,Mission Playground,4554,Subscriber,1984,Male,26.0
7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,5300,Customer,1990,Male,29.0
23 minutes,5,Powell St BART Station (Market St at 5th St),142,Guerrero Park,5532,Subscriber,1986,Male,26.0
5 minutes,5,Powell St BART Station (Market St at 5th St),58,Market St at 10th St,5539,Subscriber,1987,Female,27.0
2 minutes,5,Powell St BART Station (Market St at 5th St),44,Civic Center/UN Plaza BART Station (Market St at McAllister St),5332,Subscriber,1982,Female,26.0
1 minutes,5,Powell St BART Station (Market St at 5th St),44,Civic Center/UN Plaza BART Station (Market St at McAllister St),5018,Customer,1978,Male,26.0
14 minutes,5,Powell St BART Station (Market St at 5th St),133,Valencia St at 22nd St,4981,Customer,1993,Male,26.0
57 minutes,5,Powell St BART Station (Market St at 5th St),5,Powell St BART Station (Market St at 5th St),5054,Subscriber,1986,Male,26.0
57 minutes,5,Powell St BART Station (Market St at 5th St),5,Powell St BART Station (Market St at 5th St),5108,Subscriber,1990,Female,26.0
15 minutes,30,San Francisco Caltrain (Townsend St at 4th St),356,Valencia St at Clinton Park,5318,Subscriber,1993,Male,27.0
7 minutes,5,Powell St BART Station (Market St at 5th St),75,Market St at Franklin St,5408,Subscriber,1991,Male,27.0
8 minutes,3,Powell St BART Station (Market St at 4th St),343,Bryant St at 2nd St,4760,Subscriber,1984,Male,27.0
11 minutes,5,Powell St BART Station (Market St at 5th St),55,Webster St at Grove St,783,Customer,1989,Male,27.0
7 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,5019,Customer,1985,Female,26.0
6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,2475,Subscriber,1984,Male,26.0
4 minutes,5,Powell St BART Station (Market St at 5th St),4,Cyril Magnin St at Ellis St,5427,Customer,1972,Male,27.0
18 minutes,5,Powell St BART Station (Market St at 5th St),355,23rd St at Tennessee St,5523,Customer,1990,Male,27.0
12 minutes,3,Powell St BART Station (Market St at 4th St),5,Powell St BART Station (Market St at 5th St),4877,Subscriber,1994,Female,26.0
6 minutes,81,Berry St at 4th St,79,7th St at Brannan St,5477,Subscriber,1993,Male,26.0
3 minutes,16,Steuart St at Market St,24,Spear St at Folsom St,4751,Subscriber,1979,Male,26.0
11 minutes,3,Powell St BART Station (Market St at 4th St),350,8th St at Brannan St,4848,Subscriber,1988,Male,26.0
32 minutes,3,Powell St BART Station (Market St at 4th St),361,Mendell St at Fairfax Ave,4426,Subscriber,1989,Male,27.0
16 minutes,81,Berry St at 4th St,365,Turk St at Fillmore St,4820,Subscriber,1986,Female,29.0
6 minutes,5,Powell St BART Station (Market St at 5th St),43,San Francisco Public Library (Grove St at Hyde St),5257,Subscriber,1986,Female,29.0
12 minutes,5,Powell St BART Station (Market St at 5th St),116,Mississippi St at 17th St,4319,Customer,1978,Male,26.0
4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,37,Subscriber,1975,Male,27.0
18 minutes,3,Powell St BART Station (Market St at 4th St),355,23rd St at Tennessee St,5325,Subscriber,1972,Male,26.0
16 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),75,Market St at Franklin St,1844,Subscriber,1989,Male,26.0
3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),64,5th St at Brannan St,1003,Subscriber,1987,Male,26.0
7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,4554,Subscriber,1983,Female,26.0
3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),64,5th St at Brannan St,3639,Subscriber,1984,Female,26.0
10 minutes,5,Powell St BART Station (Market St at 5th St),76,McCoppin St at Valencia St,4982,Subscriber,1990,Male,27.0
11 minutes,81,Berry St at 4th St,3,Powell St BART Station (Market St at 4th St),4848,Customer,1992,Male,26.0
8 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,3681,Subscriber,2000,Male,29.0
8 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,5013,Subscriber,2000,Male,27.0
2 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,4974,Subscriber,1990,Female,26.0
13 minutes,3,Powell St BART Station (Market St at 4th St),6,The Embarcadero at Sansome St,4947,Subscriber,1983,Male,27.0
