date_time,close
2017-11-17 15:35:17,26.552
2017-11-17 15:40:06,26.552
2017-11-17 15:45:05,26.388
2017-11-17 15:50:34,26.378
2017-11-17 15:55:06,26.383000000000003
2017-11-17 16:00:18,26.451999999999998
2017-11-17 16:05:20,26.373
2017-11-17 16:10:05,26.388
2017-11-17 16:15:07,26.369
2017-11-17 16:20:29,26.388
2017-11-17 16:25:00,26.467
2017-11-17 16:30:18,26.482
2017-11-17 16:35:08,26.491999999999997
2017-11-17 16:40:46,26.526999999999997
2017-11-17 16:45:55,26.522
2017-11-17 16:50:05,26.546999999999997
2017-11-17 16:55:02,26.566999999999997
